No.,Title,IMDb Rating
110,The Big Lebowski (1998),8.1
115,Bacheha-Ye aseman (1997),8.1
116,Fargo (1996),8.1
117,Trainspotting (1996),8.1
125,Before Sunrise (1995),8.1
131,In the Name of the Father (1993),8.1
142,Dead Poets Society (1989),8.1
147,Tonari no Totoro (1988),8.1
160,The Thing (1982),8.1
161,Blade Runner (1982),8.1
164,Raging Bull (1980),8.1
165,The Elephant Man (1980),8.1
171,The Deer Hunter (1978),8.1
176,Barry Lyndon (1975),8.1
178,Jaws (1975),8.1
179,Monty Python and the Holy Grail (1975),8.1
181,Chinatown (1974),8.1
195,The Great Escape (1963),8.1
201,Y jinb  (1961),8.1
204,Ben-Hur (1959),8.1
209,Smultronst llet (1957),8.1
212,The Bridge on the River Kwai (1957),8.1
214,Det sjunde inseglet (1957),8.1
217,On the Waterfront (1954),8.1
218,Dial M for Murder (1954),8.1
220,T ky  monogatari (1953),8.1
221,Le salaire de la peur (1953),8.1
225,Rash mon (1950),8.1
227,The Third Man (1949),8.1
229,The Treasure of the Sierra Madre (1948),8.1
239,Gone with the Wind (1939),8.1
240,Mr. Smith Goes to Washington (1939),8.1
248,The General (1926),8.1
249,The Gold Rush (1925),8.1
250,Sherlock Jr. (1924),8.1
6,Jai Bhim (2021),8
21,Logan (2017),8
25,Ah-ga-ssi (2016),8
27,Spotlight (2015),8
36,Rush (2013),8
44,The Help (2011),8
54,Hachi: A Dog's Tale (2009),8
63,Into the Wild (2007),8
64,Ratatouille (2007),8
71,Babam ve Oglum (2005),8
74,The Incredibles (2004),8
75,Hotel Rwanda (2004),8
79,Before Sunset (2004),8
83,Pirates of the Caribbean: The Curse of the Black Pearl (2003),8
98,Amores perros (2000),8
104,The Iron Giant (1999),8
122,La haine (1995),8
134,Groundhog Day (1993),8
135,Aladdin (1992),8
140,Dances with Wolves (1990),8
149,Platoon (1986),8
150,Stand by Me (1986),8
155,The Terminator (1984),8
168,Life of Brian (1979),8
173,Rocky (1976),8
174,Network (1976),8
182,The Exorcist (1973),8
188,Cool Hand Luke (1967),8
190,Persona (1966),8
191,La battaglia di Algeri (1966),8
193,The Sound of Music (1965),8
206,Les quatre cents coups (1959),8
215,Pather Panchali (1955),8
231,The Best Years of Our Lives (1946),8
234,To Be or Not to Be (1942),8
237,Rebecca (1940),8
238,The Grapes of Wrath (1940),8
241,The Wizard of Oz (1939),8
243,It Happened One Night (1934),8
246,La passion de Jeanne d'Arc (1928),8
1,,
